Keyword,Commenter,Description
ai.explains.ai/video/7155161931798695174,/@tayseer360,You say 4 but only mentioned 3?
ai.explains.ai/video/7155161931798695174,/@quotegoatspodcast,Realizing the guy in this video is also Ai is mind blowing ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@faisaltougi,those were tree
ai.explains.ai/video/7155161931798695174,/@c4tch23,that was 3 ğŸ’€
ai.explains.ai/video/7155161931798695174,/@tnfethan,is he real?
ai.explains.ai/video/7155161931798695174,/@user701256794,Am I the only on that can count to four? Cause that was only three
ai.explains.ai/video/7155161931798695174,/@natty12yo,how to use synthesia i have to pay?
ai.explains.ai/video/7155161931798695174,/@plungi_15,wait i think his voice is ai too ğŸ’€
ai.explains.ai/video/7155161931798695174,/@goblinoftheyearaward,that was 3
ai.explains.ai/video/7155161931798695174,/@lolla24,So what's the 4th one? What did I miss? ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@stoneunited,"bro that's 3 not ,4"
ai.explains.ai/video/7155161931798695174,/@khalilslife,Idk if im even real
ai.explains.ai/video/7155161931798695174,/@bodhi_builder,"you're counting three (gpt, dalle, synesthesia), why four?"
ai.explains.ai/video/7155161931798695174,/@fuckingwonker,man can't count
ai.explains.ai/video/7155161931798695174,/@abraham23stoic,that was 3
ai.explains.ai/video/7155161931798695174,/@thepromaxxx,that was 3 anyway
ai.explains.ai/video/7155161931798695174,/@andresbergergarcia,were is Number 4
ai.explains.ai/video/7155161931798695174,/@nikolas_m138,sooo that's 3???
ai.explains.ai/video/7155161931798695174,/@everyoneneedsalittlehelp,AI gives me an uneasy feeling
ai.explains.ai/video/7155161931798695174,/@_.rokos._,that's 3 ai bro
ai.explains.ai/video/7155161931798695174,/@imaketheinternet,â€œThe answer is 4â€â€¦ shows 3
ai.explains.ai/video/7155161931798695174,/@pedrocooooooo, OPEN AI
ai.explains.ai/video/7155161931798695174,/@aiwisdomclub,ğŸ˜‚
ai.explains.ai/video/7155161931798695174,/@olivertreez3,I counted 3
ai.explains.ai/video/7155161931798695174,/@cozmic_is_bck,it's the guy who does anime recaps
ai.explains.ai/video/7155161931798695174,/@ttlynotme,I GUESSED RIGHT OMG
ai.explains.ai/video/7155161931798695174,/@optyp_,so it's three
ai.explains.ai/video/7155161931798695174,/@nico2757,so 3 not 4
ai.explains.ai/video/7155161931798695174,/@freethinkerx,...and the 4th?
ai.explains.ai/video/7155161931798695174,/@tesitok101,4 ai.....shows only 3 aiğŸ’€
ai.explains.ai/video/7155161931798695174,/@mtvphil,Bro is AI too
ai.explains.ai/video/7155161931798695174,/@black4ushop,You only named 3 that means â€¦.
ai.explains.ai/video/7155161931798695174,/@its_chris0,The dude is also completely ai btw
ai.explains.ai/video/7155161931798695174,/@diegomairanaflore,am i real?
ai.explains.ai/video/7155161931798695174,/@amzadventure, ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@omra_kefren,"Gpt3, dall e and synteshya are 3.
Maybe you need 1 more AI to count for you"
ai.explains.ai/video/7155161931798695174,/@mchyden9,The world become scary
ai.explains.ai/video/7155161931798695174,/@_azermit,um.. you said 4 but only listed 3... or am I confused
ai.explains.ai/video/7155161931798695174,/@mustafa909071,6 our 7
ai.explains.ai/video/7155161931798695174,/@rodriuriarte,got it right
ai.explains.ai/video/7155161931798695174,/@khangg_phan,HE IS A AI TOO
ai.explains.ai/video/7155161931798695174,/@pakica_pakica_pakica,broooooo that's wild why is AI so scary
ai.explains.ai/video/7155161931798695174,/@p1peryss,I said 127
ai.explains.ai/video/7155161931798695174,/@definitelynotfaq,Bro is an AI himself ğŸ’€ğŸ’€ğŸ’€
ai.explains.ai/video/7155161931798695174,/@pindaboy01,you are ai to
ai.explains.ai/video/7155161931798695174,/@strigna,i thought 3
ai.explains.ai/video/7155161931798695174,/@hycko7,why GPT 3 not available in all countries
ai.explains.ai/video/7155161931798695174,/@xk8r,Why does she looks like gustavo
ai.explains.ai/video/7155161931798695174,/@mr.brokkoli,Ingredible how far weâ€™ve advancedğŸ˜³
ai.explains.ai/video/7155161931798695174,/@kalashnikov.rifle,Wow...Where are we going next?
ai.explains.ai/video/7155161931798695174,/@dezzz21,the Synthesia avatars are actors
ai.explains.ai/video/7155161931798695174,/@zanga17,any AI development for prescription
ai.explains.ai/video/7155161931798695174,/@stroberiespie,"so its like copy and pasted,this look so easy"
ai.explains.ai/video/7155161931798695174,/@santi.rafael,AI is our doom
ai.explains.ai/video/7155161931798695174,/@turbinez_2.0,YOOO I SAID 4 ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@geogomba,I guessed 3
ai.explains.ai/video/7155161931798695174,/@dannyrayjustice,nice
ai.explains.ai/video/7155161931798695174,/@belaozu,This is scary ğŸ˜Ÿ
ai.explains.ai/video/7155161931798695174,/@unknownewword,AI true or fals
ai.explains.ai/video/7155161931798695174,/@socialprojectex,Oh I said 3 ğŸ˜…
ai.explains.ai/video/7155161931798695174,/@jungleboy6969,All free to use?
ai.explains.ai/video/7155161931798695174,/@noclipman_360,Are u sure u want to give me this wepon u dont know what i can do with this
ai.explains.ai/video/7155161931798695174,/@thehospi,hes an ai
ai.explains.ai/video/7155161931798695174,/@bigdaddy_cool4,You have to pay for Synthesia.io tho
ai.explains.ai/video/7155161931798695174,/@hypenoutis,do they claim copyright if you use it for content creation?
ai.explains.ai/video/7155161931798695174,/@0m_tech,no way I guessed it right
ai.explains.ai/video/7155161931798695174,/@sandra.1117, yeyyy
ai.explains.ai/video/7155161931798695174,/@nazhussain6,This sad and scary
ai.explains.ai/video/7155161931798695174,/@piijae,This entire tiktok was made using AI
ai.explains.ai/video/7155161931798695174,/@bavo_1312,I guessed 3 since I thought the woman was real
ai.explains.ai/video/7155161931798695174,/@fastandeasymoves,Interesting 
ai.explains.ai/video/7155161931798695174,/@uthik03,Why is there no commentsğŸ˜³ or is it just me
ai.explains.ai/video/7155161931798695174,/@nesggy,I said 4
ai.explains.ai/video/7155161931798695174,/@axxollotll,got it second try
ai.explains.ai/video/7155161931798695174,/@huuman_facts,synthesia not free
ai.explains.ai/video/7155161931798695174,/@webuyiphonesllc,This was great
ai.explains.ai/video/7155161931798695174,/@user8420610568716,gpt3 playground@
ai.explains.ai/video/7155161931798695174,/@heatedwaves,He is use Ai to explain the vid rn
ai.explains.ai/video/7155161931798695174,/@elwartep,I guessed right chhğŸ˜‚ğŸ˜‚
ai.explains.ai/video/7155161931798695174,/@s1n_27,Omg I guessed that
ai.explains.ai/video/7155161931798695174,/@zezuzaza,now i am in the matrix. i cant tell whether it is real or not and i cant tell if my life is real or now.
ai.explains.ai/video/7155161931798695174,/@goldennuggetog,He used an ai to create this video lol
ai.explains.ai/video/7155161931798695174,/@geminilone,how abourlt chat gpt?
ai.explains.ai/video/7155161931798695174,/@joshuajlewis,An Ai talking about an AiğŸ˜…ğŸ˜‚
ai.explains.ai/video/7155161931798695174,/@nickahasse,I actually got it right
ai.explains.ai/video/7155161931798695174,/@guy_shalomm,i knew itttt!
ai.explains.ai/video/7155161931798695174,/@kayle.bt,Guessed itğŸ‘¨â€ğŸ¦¯
ai.explains.ai/video/7155161931798695174,/@detox.mindfulness,that was 3 lol
ai.explains.ai/video/7155161931798695174,/@nutellathebest67,Wow I said 4 lol
ai.explains.ai/video/7155161931798695174,/@aidrivenevolution,3
ai.explains.ai/video/7155161931798695174,/@azulb76,This is freaking me out now
ai.explains.ai/video/7155161931798695174,/@scurpone,Are those free to use?
ai.explains.ai/video/7155161931798695174,/@letx199,i said 3
ai.explains.ai/video/7155161931798695174,/@azzythatmofo,I knew it the guys from the fnc channel was a ai
ai.explains.ai/video/7155161931798695174,/@a6cccc,I said 3
ai.explains.ai/video/7155161931798695174,/@lmaoooooo_k,I SAID 4!!
ai.explains.ai/video/7155161931798695174,/@gigagumgum,Got it right
ai.explains.ai/video/7155161931798695174,/@apoceu,Thw guy is ai the backrounds ai the voice is ai AM I AI
ai.explains.ai/video/7155161931798695174,/@proudypointhex,Notice how they only told you 3 AI? The guy is one too.
ai.explains.ai/video/7155161931798695174,/@literalcatfish,voice was pretty easy to figure out it was AI
ai.explains.ai/video/7155161931798695174,/@blabla26701,i got it right damn
ai.explains.ai/video/7155161931798695174,/@chuohf,I said 3
ai.explains.ai/video/7155161931798695174,/@garrettchow,"They said 4â€¦ but only listed 3â€¦ also at 0:24, you see himself as an AI option on synthesia.io"
ai.explains.ai/video/7155161931798695174,/@zulhighwaycafe,wow
ai.explains.ai/video/7155161931798695174,/@nze7,SkyNet is here
ai.explains.ai/video/7155161931798695174,/@dystoxml3yn,synthesia only gives 10 minutes tho per membership. not long enough
ai.explains.ai/video/7155161931798695174,/@meaculpavi,hello jack
ai.explains.ai/video/7155161931798695174,/@cpt_terry,im a goat
ai.explains.ai/video/7155161931798695174,/@saphiran92,"You can see him in the avatar display list as well!
I knew i've seen him before but forgot where, lol!(an AI conversation)"
ai.explains.ai/video/7155161931798695174,/@bonukai,not 5 ??
ai.explains.ai/video/7155161931798695174,/@bcalous,are all this AI free?
ai.explains.ai/video/7155161931798695174,/@krishna_9842,can you teach do you have youtube chanel
ai.explains.ai/video/7155161931798695174,/@luciferisreal03,wait in the air section is jack-
ai.explains.ai/video/7155161931798695174,/@user4794315011059,how did I know
ai.explains.ai/video/7155161931798695174,/@edgart67,I got it rightğŸ’€
ai.explains.ai/video/7155161931798695174,/@jamesdurham68,I miss the days of reading Sigmund Frued life was much easier and explainable.
ai.explains.ai/video/7155161931798695174,/@theoriginalberenicegreen,synthesia is too much expensive
ai.explains.ai/video/7155161931798695174,/@pr3vail3r,mans said 21
ai.explains.ai/video/7155161931798695174,/@stuckoverflaws,bro i know uğŸ’€
ai.explains.ai/video/7155161931798695174,/@memesawm_,who guessed it right like me
ai.explains.ai/video/7155161931798695174,/@socktwister,Nothing is real anymore ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@bythecrowcaw,I said 5 because of the photos possibly being from two different ai. Its the eyes that give the people away to me. They seem empty. Lacking something.
ai.explains.ai/video/7155161931798695174,/@wvahe,i said 4
ai.explains.ai/video/7155161931798695174,/@alemondude,the ai sounds too natural
ai.explains.ai/video/7155161931798695174,/@justbim,why did I guess 120 AI was use for the video ğŸ’€
ai.explains.ai/video/7155161931798695174,/@froggyisfrogg,I said 63 â˜ ï¸
ai.explains.ai/video/7155161931798695174,/@r_dev.io,Synthesia is pretty cool ğŸ™‚ğŸ™‚ğŸ™‚
ai.explains.ai/video/7155161931798695174,/@me.ssages,wild
ai.explains.ai/video/7155161931798695174,/@drainert,I guessed right
ai.explains.ai/video/7155161931798695174,/@miraclechinweike,how much do I worth?
ai.explains.ai/video/7155161931798695174,/@depresseddragon123,Bro is said 48ğŸ˜…
ai.explains.ai/video/7155161931798695174,/@aimadestories,"as an ai story writer, i said 4 as soon as i saw the video ğŸ˜‰ğŸ¤–"
ai.explains.ai/video/7155161931798695174,/@barrrrrrryy,Iâ€™m A. Artificial but not intelligent.
ai.explains.ai/video/7155161931798695174,/@harfzadan,Iâ€™ve had enough and itâ€™s on even on yet ğŸ˜•
ai.explains.ai/video/7155161931798695174,/@fancylanguages,wowwwwğŸ¥°ğŸ¥°ğŸ¥°
ai.explains.ai/video/7155161931798695174,/@arbani.kh,ğŸ˜³ğŸ˜³ğŸ˜³ğŸ˜³ğŸ˜³ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@callme7174,I KNEW YOUR FLAW ATLEAST ğŸ¤–ğŸ‘¾
ai.explains.ai/video/7155161931798695174,/@elbalem00,am i real?
ai.explains.ai/video/7155161931798695174,/@wassupp90,"Marco rues
Dortmund anyone??"
ai.explains.ai/video/7155161931798695174,/@tintin20218,"""Good night, I am Glen Simmons with today's top stories."" AI news caster."
ai.explains.ai/video/7155161931798695174,/@jun1art,"this would change the world just like guns, photograph, airplane, computer, and internet in their era."
ai.explains.ai/video/7155161931798695174,/@mtb.is.life9,Am I in the matrix? The answer is yes. Enjoy it
ai.explains.ai/video/7155161931798695174,/@mesh77iiall,This is craaaaaaaazy !
ai.explains.ai/video/7155161931798695174,/@zartazx,wow
ai.explains.ai/video/7155161931798695174,/@higgy99_99,Can I create a template with my own picture?
ai.explains.ai/video/7155161931798695174,/@ano3man,she calls me guss
ai.explains.ai/video/7155161931798695174,/@cataprime,I just say 4 â€¦lol even I donâ€™t notice nothing ğŸ¥¶ğŸ¥¶ğŸ¥¶
ai.explains.ai/video/7155161931798695174,/@m.a.s_muzeeq,End times
ai.explains.ai/video/7155161931798695174,/@vee_827,We are all in a simulation anyway.
ai.explains.ai/video/7155161931798695174,/@imjah3im, this is why i think itâ€™s easier than doing it myself
ai.explains.ai/video/7155161931798695174,/@av0id_keanu,guessed 3
ai.explains.ai/video/7155161931798695174,/@snakesarecute_05,Did you notice how he was on the avatar list
ai.explains.ai/video/7155161931798695174,/@den.cero,I said 3
ai.explains.ai/video/7155161931798695174,/@karma_beatz0,"I guessed right,damn"
ai.explains.ai/video/7155161931798695174,/@mo_gas9,Mind blowing
ai.explains.ai/video/7155161931798695174,/@pinkfromfloyd,"this is more than just a story. This, is our future"
ai.explains.ai/video/7155161931798695174,/@y1._.yacub,I got it
ai.explains.ai/video/7155161931798695174,/@unaibsbazaar,How to get Dalle-e. been waiting for ever seems like
ai.explains.ai/video/7155161931798695174,/@play_fortniteq,ur the ai at the start
ai.explains.ai/video/7155161931798695174,/@jigga_man456,I think I have an ear for this it might be a.i but knew that wasnâ€™t her voice
ai.explains.ai/video/7155161931798695174,/@tomasseffect,I said 4 lol
ai.explains.ai/video/7155161931798695174,/@touitimehdi,Any free alternative to Synthesia .io ?
ai.explains.ai/video/7155161931798695174,/@joli_mazart,You are also an ai ğŸ¥² I love this ğŸ¥º
ai.explains.ai/video/7155161931798695174,/@shonjon69,ai need to have tattoos on forehead saying they are ai
ai.explains.ai/video/7155161931798695174,/@beto.ncsbne,Why i said 4
ai.explains.ai/video/7155161931798695174,/@saymaaaahbro,He is the fourth oneğŸ˜³
ai.explains.ai/video/7155161931798695174,/@sam777812,But itâ€™s not free ğŸ˜‚
ai.explains.ai/video/7155161931798695174,/@oldsk1999,ğŸ˜³ğŸ˜³ğŸ˜³
ai.explains.ai/video/7155161931798695174,/@praastrup05,are ai real and we are not?
ai.explains.ai/video/7155161931798695174,/@monkebone,omg how did I know it was 4 am I real
ai.explains.ai/video/7155161931798695174,/@chattyfoodies,Great Tik tok
ai.explains.ai/video/7155161931798695174,/@cuplex,How long is a pierce of string? It could be done with one AI using different types of transformer networks. Stable diffusion is cool though!
ai.explains.ai/video/7155161931798695174,/@nojusbojka,i said 5millions
ai.explains.ai/video/7155161931798695174,/@dogxied,I guessed it
ai.explains.ai/video/7155161931798695174,/@_pop_core,how did i get that correct ğŸ˜¬
ai.explains.ai/video/7155161931798695174,/@donavan_g,This is awesome
ai.explains.ai/video/7155161931798695174,/@quaribo,You are can be AI too ğŸ˜…
ai.explains.ai/video/7155161931798695174,/@deciusbrutus,"Six, counting the ai that showed it to me. Seven, if you count me."
ai.explains.ai/video/7155161931798695174,/@mrpartz,If you include the synthetic voice the answer is in fact five. The clothes she wears were generated from synthetic textures.
ai.explains.ai/video/7155161931798695174,/@oficialrycky,i never see ia spiking portuguÃªse from Portugal ğŸ˜… always spikes brasilian
ai.explains.ai/video/7155161931798695174,/@chickenoodlescodm,hes also an ai
ai.explains.ai/video/7155161931798695174,/@scootchi3,It went over my headğŸ˜­
ai.explains.ai/video/7155161931798695174,/@marcobalen,Pierino which are the 5 continents? the 4 continents are 3: Asia and Africa
ai.explains.ai/video/7155161931798695174,/@gamepazzbrozz,"this account also made by the ai, dat guy is the ai ğŸ˜³"
ai.explains.ai/video/7155161931798695174,/@onlymyshot,are they free ? I know that gpt is already free
ai.explains.ai/video/7155161931798695174,/@ad3z,It's more. The guy isn't real either
ai.explains.ai/video/7155161931798695174,/@am1go_2,I got it right haha
ai.explains.ai/video/7155161931798695174,/@flyingpastramisandwich,"5 , you are forgetting yourself .ğŸ˜‚"
ai.explains.ai/video/7155161931798695174,/@kenneths_music,the guy is ai
ai.explains.ai/video/7155161931798695174,/@dru_cripps, I got it bang on I am AI.I
ai.explains.ai/video/7155161931798695174,/@evengutt,"What an informative videoğŸ˜ğŸ˜ Its so cool with these AIsğŸ‘ğŸ–¥ Also, can you guys explain to me what an NPC is?ğŸ¤”ğŸ¤”"
ai.explains.ai/video/7155161931798695174,/@mocamuma,Any AI suggestions for writing like a pro
ai.explains.ai/video/7155161931798695174,/@iamshrunk,So this is an AI making TikTokâ€™s about AI. TikTok inception
ai.explains.ai/video/7155161931798695174,/@zc5_5, 
ai.explains.ai/video/7155161931798695174,/@harakakimathi,We're doomed.. It seems telling 'real' from AI will be impossible in the near future
ai.explains.ai/video/7155161931798695174,/@cupidcuuuuupid,i said 4 not even knowing
ai.explains.ai/video/7155161931798695174,/@greensee3,where am i
ai.explains.ai/video/7155161931798695174,/@callegutt,can you use an AI to make architectural drawings?
ai.explains.ai/video/7155161931798695174,/@kelvingoliath,I was right just by guessing
ai.explains.ai/video/7155161931798695174,/@official_yasi_22,I said 3 ğŸ¥²
ai.explains.ai/video/7155161931798695174,/@jiandg127,gustavo has a sister?
ai.explains.ai/video/7155161931798695174,/@oya.cc,I ACTUALLY GOT 4
ai.explains.ai/video/7155161931798695174,/@e46rwd,700
ai.explains.ai/video/7155161931798695174,/@petachon,I give it another year until a normal person can't tell what is real and what is completely made by computers
ai.explains.ai/video/7155161931798695174,/@hmegab,needs an extra AI to do the editing
ai.explains.ai/video/7155161931798695174,/@raed__naili,the guy speaking is alos an ai btw
ai.explains.ai/video/7155161931798695174,/@lovemegatron,Make an ai to do that for us so it's only one
ai.explains.ai/video/7155161931798695174,/@jwtron,so did humans invent/discover ACTUAL AI or are these just normal computer programs?
ai.explains.ai/video/7155161931798695174,/@shvckwave,And to think the narrator is Ai too ğŸ˜‚
ai.explains.ai/video/7155161931798695174,/@memeslmao_69,OMG HOW DID I KNOW
ai.explains.ai/video/7155161931798695174,/@philmansour,Why would you say these are AI versus programs that use non-ai programing techniques?
ai.explains.ai/video/7155161931798695174,/@golden_collectionx,free?
ai.explains.ai/video/7155161931798695174,/@cocobangerz,BYEEE THE GUY IS A AI ahahhahahahahahhahhahah
ai.explains.ai/video/7155161931798695174,/@just_sharry,Gonna use this for online interviews
ai.explains.ai/video/7155161931798695174,/@timo_schett,5 ure one too
